OUTPUT o_sdram_addr[12] 	 location (33, 3, 1) 	 L12 	 
OUTPUT o_data_req 	 location (5, 33, 1) 	 B4 	 
INPUT  i_addr[11] 	 location (16, 33, 1) 	 D8 	 
OUTPUT io_sdram_dq[12] 	 location (2, 33, 1) 	 B2 	 
OUTPUT o_sdram_addr[3] 	 location (0, 18, 1) 	 G5 	 
INPUT  i_rwn 	 location (0, 7, 0) 	 M1 	 
INPUT  i_data[3] 	 location (30, 33, 1) 	 C12 	 
INPUT  i_addr[5] 	 location (18, 33, 0) 	 B9 	 
INPUT  i_addr[14] 	 location (20, 33, 0) 	 C10 	 
OUTPUT o_sdram_dqm[3] 	 location (33, 2, 0) 	 R14 	 
INPUT  i_selfrefresh_req 	 location (0, 6, 0) 	 M2 	 
OUTPUT o_sdram_addr[4] 	 location (0, 19, 1) 	 G3 	 
OUTPUT o_data[11] 	 location (33, 24, 0) 	 E14 	 
OUTPUT o_write_done 	 location (0, 25, 0) 	 D1 	 
OUTPUT o_data[0] 	 location (33, 27, 0) 	 D15 	 
INPUT  i_power_down 	 location (0, 4, 1) 	 P1 	 
INPUT  i_data[10] 	 location (26, 33, 0) 	 E9 	 
OUTPUT o_sdram_addr[9] 	 location (0, 27, 1) 	 E5 	 
INPUT  i_addr[19] 	 location (23, 33, 0) 	 B11 	 
OUTPUT o_sdram_blkaddr[1] 	 location (6, 33, 1) 	 A5 	 
OUTPUT o_sdram_csn 	 location (33, 3, 0) 	 M15 	 
OUTPUT o_data[7] 	 location (33, 5, 0) 	 K13 	 
OUTPUT o_data[22] 	 location (33, 15, 1) 	 H13 	 
OUTPUT io_sdram_dq[5] 	 location (0, 14, 1) 	 H3 	 
OUTPUT o_sdram_dqm[2] 	 location (33, 2, 1) 	 P14 	 
OUTPUT io_sdram_dq[14] 	 location (3, 33, 1) 	 A2 	 
INPUT  i_data[14] 	 location (28, 33, 1) 	 D11 	 
OUTPUT o_sdram_addr[5] 	 location (0, 20, 0) 	 F1 	 
OUTPUT o_data[25] 	 location (33, 14, 0) 	 J14 	 
OUTPUT o_data[16] 	 location (33, 21, 0) 	 F14 	 
OUTPUT io_sdram_dq[8] 	 location (0, 12, 1) 	 J5 	 
INPUT  i_data[6] 	 location (33, 31, 0) 	 B15 	 
INPUT  i_addr[6] 	 location (17, 33, 1) 	 A8 	 
OUTPUT o_sdram_addr[10] 	 location (0, 25, 1) 	 E6 	 
OUTPUT o_data[3] 	 location (33, 9, 0) 	 K15 	 
OUTPUT o_data[19] 	 location (33, 19, 1) 	 G11 	 
OUTPUT io_sdram_dq[1] 	 location (0, 22, 1) 	 F5 	 
INPUT  i_data[11] 	 location (26, 33, 1) 	 D9 	 
INPUT  i_clk 	 location (0, 16, 1) 	 H5 	 
INPUT  i_addr[20] 	 location (0, 5, 1) 	 N2 	 
INPUT  i_addr[17] 	 location (18, 33, 1) 	 A9 	 
OUTPUT o_sdram_clk 	 location (0, 21, 1) 	 F3 	 
OUTPUT o_data[8] 	 location (33, 4, 1) 	 K12 	 
OUTPUT o_data[30] 	 location (33, 8, 0) 	 M14 	 
OUTPUT io_sdram_dq[10] 	 location (0, 24, 0) 	 E2 	 
INPUT  i_burststop_req 	 location (0, 6, 1) 	 K5 	 
INPUT  i_addr[18] 	 location (22, 33, 0) 	 B10 	 
OUTPUT o_sdram_blkaddr[0] 	 location (0, 28, 0) 	 C1 	 
OUTPUT o_sdram_addr[1] 	 location (0, 19, 0) 	 G1 	 
OUTPUT o_data[28] 	 location (33, 11, 0) 	 J13 	 
INPUT  i_data[1] 	 location (25, 33, 1) 	 B12 	 
INPUT  i_adv 	 location (0, 4, 0) 	 K4 	 
OUTPUT o_sdram_casn 	 location (8, 33, 1) 	 F7 	 
OUTPUT o_init_done 	 location (0, 28, 1) 	 E3 	 
OUTPUT o_data[6] 	 location (33, 5, 1) 	 J10 	 
